post_type,post_id,codice_electa,post_title,anno_opera,tax_materiali,misure_opera,tax_tipologia_opera,tax_tipo_opera,tax_subtipo_opera,esemplari_opera,file_immagine,id_import,codice_opera,post_status
catalogo,17375,T 82 093,Senza titolo / (Untitled),1982,pencil and tempera on paper,350 x 250 mm,works on paper/canvas,mixed media,,,T_82_093.jpg,17375,7375,publish
catalogo,17376,T 82 094,Senza titolo / (Untitled),1982,tempera and pencil on white cardboard  ,350 x 250 mm,works on paper/canvas,mixed media,,,T_82_094.jpg,17376,7376,publish
catalogo,17377,T 82 095,Senza titolo / (Untitled),1982,matita and tempera on white cardboard ,350 x 250 mm,works on paper/canvas,mixed media,,,T_82_095.jpg,17377,7377,publish
catalogo,17378,T 82 096,Senza titolo / (Untitled),1982,"tempera, pastel and litho pencil on beige cardboard ",350 x 250 mm,works on paper/canvas,mixed media,,,T_82_096.jpg,17378,7378,publish
catalogo,17379,T 72 021,Senza titolo / (Untitled),1972,litho pencil and tempera on cardboard,350 x 250 mm,works on paper/canvas,mixed media,,,T_72_021.jpg,17379,7379,publish
catalogo,17380,T 82 098,Senza titolo / (Untitled),1982,tempera and litho pencil on beige cardboard ,350 x 250 mm,works on paper/canvas,mixed media,,,T_82_098.jpg,17380,7380,publish
catalogo,17381,T 82 099,Senza titolo / (Untitled),1982,pencil and tempera on white cardboard ,350 x 250 mm,works on paper/canvas,mixed media,,,T_82_099.jpg,17381,7381,publish
catalogo,17382,T 82 100,Senza titolo / (Untitled),1982,tempera and colour pastel on white cardboard  ,350 x 250 mm,works on paper/canvas,mixed media,,,T_82_100.jpg,17382,7382,publish
catalogo,17383,T 78 043,Senza titolo / (Untitled),1978,tempera and litho pencil on paper,346 x 250 mm,works on paper/canvas,mixed media,,,T_78_043.jpg,17383,7383,publish
catalogo,17384,T 78 044,Senza titolo / (Untitled),1978,pencil and tempera on paper ,350 x 246 mm,works on paper/canvas,mixed media,,,T_78_044.jpg,17384,7384,publish
catalogo,17385,T 78 045,Senza titolo / (Untitled),1978,"pencil, tempera and pastel on white cardboard",350 x 250 mm,works on paper/canvas,mixed media,,,T_78_045.jpg,17385,7385,publish
catalogo,17386,T 78 046,Senza titolo / (Untitled),1978,tempera and litho pencil on white cardboard ,350 x 250 mm,works on paper/canvas,mixed media,,,T_78_046.jpg,17386,7386,publish
catalogo,17387,T 78 047,Senza titolo / (Untitled),1978,pencil and tempera on paper ,346 x 256 mm,works on paper/canvas,mixed media,,,T_78_047.jpg,17387,7387,publish
catalogo,17388,T 78 048,Senza titolo / (Untitled),1978,pencil and tempera on white cardboard  ,350 x 250 mm,works on paper/canvas,mixed media,,,T_78_048.jpg,17388,7388,publish
catalogo,17389,T 78 049,Senza titolo / (Untitled),1978,pencil and pencil on paper ,350 x 250 mm,works on paper/canvas,mixed media,,,T_78_049.jpg,17389,7389,publish
catalogo,17390,T 78 050,Senza titolo / (Untitled),1978,tempera and pencil on paper ,356 x 250 mm,works on paper/canvas,mixed media,,,T_78_050.jpg,17390,7390,publish
catalogo,17391,T 78 051,Senza titolo / (Untitled),1978,tempera and pencil on paper,350 x 250 mm,works on paper/canvas,mixed media,,,T_78_051.jpg,17391,7391,publish
catalogo,17392,T 78 052,Senza titolo / (Untitled),1978,pencil and tempera on paper ,346 x 250 mm,works on paper/canvas,mixed media,,,T_78_052.jpg,17392,7392,publish
catalogo,17393,T 78 053,Senza titolo / (Untitled),1978,pencil and tempera on paper ,350 x 250 mm,works on paper/canvas,mixed media,,,T_78_053.jpg,17393,7393,publish
catalogo,17394,T 78 054,Senza titolo / (Untitled),1978,tempera pencil on paper ,350 x 250 mm,works on paper/canvas,mixed media,,,T_78_054.jpg,17394,7394,publish
catalogo,17395,T 78 055,Senza titolo / (Untitled),1978,tempera and pencil on paper,346 x 250 mm,works on paper/canvas,mixed media,,,T_78_055.jpg,17395,7395,publish
catalogo,17396,T 71 033,Senza titolo / (Untitled),circa 1971,pencil and tempera on white cardboard,350 x 250 mm,works on paper/canvas,mixed media,,,T_71_033.jpg,17396,7396,publish
catalogo,17397,T 71 034,Senza titolo / (Untitled),1971,tempera and pencil on white cardboard ,350 x 250 mm,works on paper/canvas,mixed media,,,T_71_034.jpg,17397,7397,publish
catalogo,17398,T 71 035,Senza titolo / (Untitled),1971,tempera and pencil on white cardboard ,350 x 250 mm,works on paper/canvas,mixed media,,,T_71_035.jpg,17398,7398,publish
catalogo,17399,T 83 081,Senza titolo / (Untitled),1983,tempera and litho pencil on white cardboard ,350 x 250 mm,works on paper/canvas,mixed media,,,T_83_081.jpg,17399,7399,publish
catalogo,17400,T 83 080,Senza titolo / (Untitled),1983,tempera and pastel on paper,350 x 250 mm,works on paper/canvas,mixed media,,,T_83_080.jpg,17400,7400,publish
catalogo,17401,T 83 079,Senza titolo / (Untitled),1983,pastel and tempera on white paper,350 x 250 mm,works on paper/canvas,mixed media,,,T_83_079.jpg,17401,7401,publish
catalogo,17402,T 83 082,Senza titolo / (Untitled),1983,tempera and litho pencil on white cardboard ,350 x 250 mm,works on paper/canvas,mixed media,,,T_83_082.jpg,17402,7402,publish
catalogo,17403,T 73 039,Senza titolo / (Untitled),1973,tempera and colour pastel on apper,350 x 250 mm,works on paper/canvas,mixed media,,,T_73_039.jpg,17403,7403,publish
catalogo,17404,T 73 037,Senza titolo / (Untitled),1973,tempera and pencil on paper,350 x 250 mm,works on paper/canvas,mixed media,,,T_73_037.jpg,17404,7404,publish
catalogo,17405,T 83 083,Senza titolo / (Untitled),1983,tempera and pencil on white cardboard ,350 x 250 mm,works on paper/canvas,mixed media,,,T_83_083.jpg,17405,7405,publish
catalogo,17406,T 73 038,Senza titolo / (Untitled),1973,tempera e matita litho su carta,350 x 250 mm,works on paper/canvas,mixed media,,,T_73_038.jpg,17406,7406,publish
catalogo,17407,T 83 084,Senza titolo / (Untitled),1983,tempera and conté pencil on white cardboard ,350 x 250 mm,works on paper/canvas,mixed media,,,T_83_084.jpg,17407,7407,publish
catalogo,17408,T 83 085,Senza titolo / (Untitled),1983,tempera and litho pencil on white cardboard ,350 x 250 mm,works on paper/canvas,mixed media,,,T_83_085.jpg,17408,7408,publish
catalogo,17409,T 83 087,Senza titolo / (Untitled),1983,tempera and litho pencil on white cardboard ,350 x 250 mm,works on paper/canvas,mixed media,,,T_83_087.jpg,17409,7409,publish
catalogo,17410,T 83 088,Senza titolo / (Untitled),1983,tempera and colour pastel on white cardboard,350 x 250 mm,works on paper/canvas,mixed media,,,T_83_088.jpg,17410,7410,publish
catalogo,17411,T 81 079,Senza titolo / (Untitled),1981,tempera and pencil on white cardboard  ,350 x 250 mm,works on paper/canvas,mixed media,,,T_81_079.jpg,17411,7411,publish
catalogo,17412,T 81 080,Senza titolo / (Untitled),1981,tempera and pencil on white cardboard  ,350 x 250 mm,works on paper/canvas,mixed media,,,T_81_080.jpg,17412,7412,publish
catalogo,17413,T 81 081,Senza titolo / (Untitled),1981,pencil and tempera on white cardboard ,350 x 250 mm,works on paper/canvas,mixed media,,,T_81_081.jpg,17413,7413,publish
catalogo,17414,T 81 082,Senza titolo / (Untitled),1981,tempera and pencil on white cardboard  ,350 x 250 mm,works on paper/canvas,mixed media,,,T_81_082.jpg,17414,7414,publish
catalogo,17415,T 74 029,Senza titolo / (Untitled),1974,tempera and pastel on paper,347 x 247 mm,works on paper/canvas,mixed media,,,T_74_029.jpg,17415,7415,publish
catalogo,17416,T 81 083,Senza titolo / (Untitled),1981,tempera on white cardboard,350 x 250 mm,works on paper/canvas,mixed media,,,T_81_083.jpg,17416,7416,publish
catalogo,17417,T 81 084,Senza titolo / (Untitled),1981,tempera and colour pastel on white cardboard ,350 x 250 mm,works on paper/canvas,mixed media,,,T_81_084.jpg,17417,7417,publish
catalogo,17418,T 74 028,Senza titolo / (Untitled),1974,tempera and litho pencil on white cardboard,350 x 250 mm,works on paper/canvas,mixed media,,,T_74_028.jpg,17418,7418,publish
catalogo,17419,T 74 027,Senza titolo / (Untitled),1974,tempera and litho pencil on white cardboard,350 x 250 mm,works on paper/canvas,mixed media,,,T_74_027.jpg,17419,7419,publish
catalogo,17420,T 81 085,Senza titolo / (Untitled),1981,pencil and tempera on white cardboard ,350 x 250 mm,works on paper/canvas,mixed media,,,T_81_085.jpg,17420,7420,publish
