post_type,post_id,codice_electa,post_title,anno_opera,tax_materiali,misure_opera,tax_tipologia_opera,tax_tipo_opera,tax_subtipo_opera,esemplari_opera,file_immagine.jpg,id_import,codice_opera,post_status
catalogo,12132,VA 109,Gallo / (Rooster),circa 1955,glazed polychrome ceramic,72 x 34 x 25 cm,ceramics,Vases,double egg rooster vase with variations ,,VA_109.jpg,2132,2132,publish
catalogo,12133,VA 105,Vaso / (Vase),circa 1952,glazed polychrome ceramic,"43 x 21,5 x 14 cm",ceramics,Vases,double egg vase and two cones,,VA_105.jpg,2133,2133,publish
catalogo,12159,VA 009,Vaso / (Vase),circa 1955,glazed polychrome ceramic,h. 39 cm,ceramics,Vases,hourglass vase,,VA_009.jpg,2159,2159,publish
catalogo,12160,VA 010,Vaso / (Vase),circa 1955,glazed polychrome ceramic,h. 29 cm,ceramics,Vases,moon vase,,VA_010.jpg,2160,2160,publish
catalogo,12179,VA 026,Vaso / (Vase),circa 1955,glazed polychrome ceramic,h. 38 x Ø 12 cm,ceramics,Vases,tube vase,,VA_026.jpg,2179,2179,publish
catalogo,12200,PA 2,Vaso pavone / (Peacock Vase),circa 1950,glazed polychrome ceramic ,"28,5 x 45,5 x 42,8 cm",ceramics,Vases,peacock vase,,PA_2.jpg,2200,2200,publish
catalogo,12203,CC 1,Coppa / (Bowl),circa 1950,glazed polychrome ceramic ,"h. 30 x Ø 17,50 cm",ceramics,bowls,,,CC_1.jpg,2203,2203,publish
catalogo,12207,Cdp 1,Coppa / (Bowl),circa 1950,glazed polychrome ceramic ,"35,5 x 37,5 x 18 cm",ceramics,bowls,,,Cdp_1.jpg,2207,2207,publish
catalogo,12208,CR 001,Cartoccio / (Cartoccio Bowl),circa 1950,glazed polychrome ceramic ,"h. 20,5 x Ø 37 cm",ceramics,cartoccio,,,CR_001.jpg,2208,2208,publish
catalogo,12209,CR 002,Cartoccio / (Cartoccio Bowl),circa 1950,glazed polychrome ceramic ,"h. 18,8 x Ø 45 cm",ceramics,Cartoccio,,,CR_002.jpg,2209,2209,publish
catalogo,12210,CO 002,Coppa / (Bowl),circa 1950,glazed polychrome ceramic ,h. 12 x Ø 24 cm,ceramics,bowls,,,CO_002.jpg,2210,2210,publish
catalogo,12212,CO 004,Coppa / (Bowl),circa 1950,glazed polychrome ceramic,h. 10 x Ø 30 cm,ceramics,bowls,,,CO_004.jpg,2212,2212,publish
catalogo,12217,PT 003,Piatto / (Plate),circa 1950,glazed polychrome ceramic,h. 7 x Ø 27 cm,ceramics,plates,,,PT_003.jpg,2217,2217,publish
catalogo,12220,PT 006,Piatto / (Plate),circa 1955,glazed polychrome ceramic,"3,4 x 31 x 22 cm",ceramics,plates,,,PT_006.jpg,2220,2220,publish
catalogo,12260,VA 060,Vaso sole / (Sun Vase),circa 1955,glazed polychrome ceramic,"32,5 x 11 cm",ceramics,vases,sun vase,,VA_060.jpg,2260,2260,publish
catalogo,12281,1951 4,Kore ,circa 1951,glazed ceramic,24 x 5 x 5 cm,Sculptures,,,,1951_4.jpg,2281,2281,publish
catalogo,12283,LA 002,Lampada / (Lamp),circa 1955,glazed polychrome ceramic,h. 26 x Ø 8 cm,Ceramics,lamps,,,LA_002.jpg,2283,2283,publish
catalogo,12284,LA 003,Lampada / (Lamp),circa 1955,glazed polychrome ceramic,h. 27 x Ø 8 cm,Ceramics,lamps,,,LA_003.jpg,2284,2284,publish
catalogo,12285,LA 004,Lampada / (Lamp),circa 1955,glazed polychrome ceramic,h. 32 x Ø 12 cm,Ceramics,lamps,,,LA_004.jpg,2285,2285,publish
catalogo,12286,LA 005,Lampada / (Lamp),circa 1955,glazed polychrome ceramic,h. 30 x Ø 12 cm,Ceramics,lamps,,,LA_005.jpg,2286,2286,publish
catalogo,12288,LA 007,Lampada / (Lamp),circa 1955,glazed polychrome ceramic,"h. 29 x Ø 12,5 cm",Ceramics,lamps,,,LA_007.jpg,2288,2288,publish
catalogo,12316,1951 7,Senza titolo / (Untitled),circa 1951,glazed ceramic,h. 54 cm,Sculptures,,,,1951_7.jpg,2316,2316,publish
catalogo,12364,CO 008,Coppa / (Bowl),circa 1951,glazed polychrome ceramic,"9 x 27,5 cm",ceramics,bowls,,,CO_008.jpg,2364,2364,publish
catalogo,12374,1951 5,Senza titolo / (Untitled),circa 1951,glazed ceramic,20 x 6 x 4 cm,Sculptures,,,,1951_5.jpg,2374,2374,publish
catalogo,12392,1959 10B,Senza titolo / (Untitled),circa 1959,glazed polychrome ceramic,"20,5 x 50,5 cm",bas reliefs,ceramic,,,1959_10B.jpg,2392,2392,publish
catalogo,12417,VA 078,Vaso / (Vase),circa 1955,glazed polychrome ceramic,h. 18 cm,ceramics,Vases,low cone case,,VA_078.jpg,2417,2417,publish
catalogo,12440,BA 037,Senza titolo / (Untitled),circa 1959,glazed polychrome ceramic,"30,5 x 45,5 cm",bas reliefs,ceramic,,,BA_037.jpg,2440,2440,publish
catalogo,12450,PI 006,Senza titolo / (Untitled),circa 1950,glazed polychrome ceramic,40 x 49 cm,bas reliefs,ceramic,,,PI_006.jpg,2450,2450,publish
catalogo,12452,PI 012,Senza titolo / (Untitled) ,circa 1958,glazed polychrome ceramic,"50 x 54,5 cm",bas reliefs,ceramic,,,PI_012.jpg,2452,2452,publish
catalogo,12453,PI 013,Senza titolo / (Untitled),circa 1958,glazed polychrome ceramic,"50 x 55,5 cm",bas reliefs,ceramic,,,PI_013.jpg,2453,2453,publish
catalogo,12454,PI 014,Senza titolo / (Untitled) ,circa 1958,glazed polychrome ceramic,"48,5 x 48,5 cm",bas reliefs,ceramic,,,PI_014.jpg,2454,2454,publish
catalogo,12459,VA 092,Vaso / (Vase),circa 1952,glazed polychrome ceramic,81 x 41 x 22 cm,ceramics,vases,mushroom-shaped vase,,VA_092.jpg,2459,2459,publish
catalogo,12469,VA 094,Vaso / (Vase),circa 1955,glazed polychrome ceramic,68 x 33 x 21 cm,ceramics,Vases,double egg vase with two tubes,,VA_094.jpg,2469,2469,publish
catalogo,12484,BA 044,Senza titolo / (Untitled),circa 1958,glazed ceramic,"17,5 x 30 cm",bas reliefs,ceramic,,,BA_044.jpg,2484,2484,publish
catalogo,12494,VA 114,Vaso / (Vase),circa 1955,glazed polychrome ceramic,58 x 29 x 17 cm,ceramics,Vases,bishop vase,,VA_114.jpg,2494,2494,publish
catalogo,12501,VA 121,Vaso / (Vase),circa 1955,glazed polychrome ceramic,80 x 24 x 14 cm,ceramics,vases,four cones vase (two of which are printed),,VA_121.jpg,2501,2501,publish
catalogo,12536,VA 155,Vaso / (Vase),1955,glazed polychrome ceramic,34 x 12 x 7 cm,ceramics,vases,owl vase,,VA_155.jpg,2536,2536,publish
catalogo,12538,VA 157,Vaso / (Vase),circa 1955,glazed polychrome ceramic,h. 37 cm,ceramics,vases,owl vase,,VA_157.jpg,2538,2538,publish
catalogo,12541,VA 162,Vaso / (Vase),circa 1950,glazed polychrome ceramic,"39 x 24,5 x 12 cm",ceramics,vases,bishop vase,,VA_162.jpg,2541,2541,publish
catalogo,12545,VA 166,Vaso / (Vase),circa 1955,glazed polychrome ceramic,"h. 34,5 cm",ceramics,vases,bishop vase,,VA_166.jpg,2545,2545,publish
catalogo,12546,VA 167,Vaso / (Vase),circa 1955,glazed polychrome ceramic,"34,4 x 15,6 x 8 cm",ceramics,vases,bishop vase,,VA_167.jpg,2546,2546,publish
catalogo,12550,VA 171,Vaso / (Vase),circa 1955,glazed polychrome ceramic,"h.59,5 x Ø 12 cm",ceramics,vases,sheatfish vase,,VA_171.jpg,2550,2550,publish
catalogo,12558,VA 179,Vaso / (Vase),1955,glazed polychrome ceramic,h. 33 cm,ceramics,vases,mushroom-shaped vase,,VA_179.jpg,2558,2558,publish
catalogo,12562,VA 183,Vaso / (Vase),circa 1952,glazed ceramic,40 x 23 x 16 cm,ceramics,vases,bishop vase,,VA_183.jpg,2562,2562,publish
catalogo,12567,VA 187,Vaso / (Vase),circa 1952,glazed polychrome ceramic,"h. 31, 5 x Ø 10 cm",ceramics,vases,mushroom-shaped vase,,VA_187.jpg,2567,2567,publish
catalogo,12598,VA 214,Vaso / (Vase),circa 1955,glazed polychrome ceramic,h. 25 x Ø 8 cm,ceramics,vases,colletto vase,,VA_214.jpg,2598,2598,publish
catalogo,12603,VA 219,Vaso / (Vase),circa 1955,glazed polychrome ceramic,"h. 25 x 7,7 x 8 cm",ceramics,vases,colletto vase,,VA_219.jpg,2603,2603,publish
catalogo,12615,VA 231,Vaso / (Vase),circa 1955,glazed polychrome ceramic,h. 40 cm,ceramics,vases,two sheets vase,,VA_231.jpg,2615,2615,publish
catalogo,12618,VA 234,Vaso / (Vase),circa 1956,glazed polychrome ceramic,h. 49 cm,ceramics,vases,two sheets vase,,VA_234.jpg,2618,2618,publish
catalogo,12644,Cd 1,Coppa / (Bowl),circa 1950,glazed polychrome ceramic,"25,5 x 38 cm ",ceramics,bowls,,,Cd_1.jpg,2644,2644,publish
catalogo,12650,VA 253,Vaso / (Vase),circa 1955,glazed polychrome ceramic                                                                                                                                                                                                                              ,"h. 27,5 cm",ceramics,vases,twin vase,,VA_253.jpg,2650,2650,publish
catalogo,12670,PA 5,Vaso pavone / (Peacock Vase),circa 1955,glazed polychrome ceramic,"25 x 25,5 x 7,8 cm",ceramics,Vases,peacock vase, ,PA_5.jpg,2670,2670,publish
catalogo,12678,PA 13,Vaso pavone / (Peacock Vase),1955,glazed polychrome ceramic,h. 48 cm ,ceramics,Vases,peacock vase,,PA_13.jpg,2678,2678,publish
catalogo,12689,CO 022,Coppa / (Bowl),circa 1955,glazed polychrome ceramic,"12,5 x Ø 26 cm",ceramics,bowls,,,CO_022.jpg,2689,2689,publish
catalogo,12695,VA 266,Vaso / (Vase),circa 1955,glazed polychrome ceramic,"28,4 x 13,2 cm ",ceramics,vases,twin vase,,VA_266.jpg,2695,2695,publish
catalogo,12696,VA 267,Vaso / (Vase),1955,glazed polychrome ceramic,"30 x 12,2 cm ",ceramics,vases,twin vase,,VA_267.jpg,2696,2696,publish
catalogo,12705,LA 078,Lampada / (Lamp),circa 1955,glazed polychrome ceramic,"h. 26,4 x Ø 8,5 cm",ceramics,lamps,,,LA_078.jpg,2705,2705,publish
catalogo,12706,LA 079,Lampada / (Lamp),circa 1955,glazed polychrome ceramic,"h. 27,5 x Ø 8,5 cm",ceramics,lamps,,,LA_079.jpg,2706,2706,publish
catalogo,12712,VA 270,Vaso / (Vase),circa 1955,glazed polychrome ceramic,"18 x 18,5 x 8 cm",ceramics,vases,low cone vase,,VA_270.jpg,2712,2712,publish
catalogo,12713,VA 271,Vaso / (Vase),circa 1955,glazed polychrome ceramic,"21 x 20 x 9,5 cm",ceramics,vases,cone vase,,VA_271.jpg,2713,2713,publish
catalogo,12715,VA 273,Vaso / (Vase),circa 1958,glazed polychrome ceramic                                                                                                                                                                                                                               ,"h. 26 x 23 x 10,5 cm",ceramics,vases,,,VA_273.jpg,2715,2715,publish
catalogo,12732,CO 027 / 021-1,Coppa / (Bowl),circa 1955,glazed polychrome ceramic,"12,5 x Ø 31 cm",ceramics,bowls,,,CO_027_/_021-1.jpg,2732,2732,publish
catalogo,12738,CO 032,Coppa / (Bowl),circa 1955,glazed polychrome ceramic,12 x Ø 31 cm,ceramics,bowls,,,CO_032.jpg,2738,2738,publish
catalogo,12739,CO 043,Coppa / (Bowl),circa 1955,glazed polychrome ceramic,"10 x Ø 23,5 cm",ceramics,bowls,,,CO_043.jpg,2739,2739,publish
catalogo,12740,CO 044,Coppa / (Bowl),circa 1955,glazed polychrome ceramic,"10,5 x Ø 23,5 cm",ceramics,bowls,,,CO_044.jpg,2740,2740,publish
catalogo,12770,Ocl 004,Collana / (Necklace),circa 1955,glazed polychrome ceramic,125 x Ø 1 cm,ceramics,jewellery,,,Ocl_004.jpg,2770,2770,publish
catalogo,12771,Ocl 005,Collana / (Necklace),circa 1955,glazed polychrome ceramic,"56 x Ø 1,3 cm",ceramics,jewellery,,,Ocl_005.jpg,2771,2771,publish
catalogo,12772,Ocl 006,Collana / (Necklace),circa 1955,glazed polychrome ceramic,"52,5 x Ø 1,2 cm",ceramics,jewellery,,,Ocl_006.jpg,2772,2772,publish
catalogo,12773,Ocl 007,Collana / (Necklace),circa 1955,glazed polychrome ceramic,46 x Ø 1 cm,ceramics,jewellery,,,Ocl_007.jpg,2773,2773,publish
catalogo,12778,Orc 001,Orecchini / (Earrings),1955,glazed polychrome ceramic and gold,h. 3 x Ø 1 cm ,ceramics,jewellery,,,Orc_001.jpg,2778,2778,publish
catalogo,12807,CE 016,Cerchi / (Circles),circa 1955,"glazed polychrome ceramic, nylon and brass","41 x 34,5 x 5 cm",ceramics,circles,,,CE_016.jpg,2807,2807,publish
catalogo,12810,CE 019,Cerchi / (Circles),circa 1955,"glazed polychrome ceramic, nylon and brass",h. 51 x 38 cm,ceramics,circles,,,CE_019.jpg,2810,2810,publish
catalogo,12812,CE 021,Cerchi / (Circles),circa 1955,"glazed polychrome ceramic, nylon and brass","26,5 x 22,5 cm",ceramics,circles,,  ,CE_021.jpg,2812,2812,publish
catalogo,12814,CE 023,Cerchi / (Circles),circa 1955,"glazed polychrome ceramic, nylon and brass",27 x 26 x 5 cm,ceramics,circles,,,CE_023.jpg,2814,2814,publish
catalogo,12819,CE 028,Cerchi / (Circles),circa 1955,"glazed polychrome ceramic, nylon and brass",27 x 27 x 5 cm,ceramics,circles,,,CE_028.jpg,2819,2819,publish
catalogo,12825,CE 034,Cerchi / (Circles),circa 1955,"glazed polychrome ceramic, nylon and brass",25 x 25 x 5 cm,ceramics,circles,,,CE_034.jpg,2825,2825,publish
catalogo,12838,ASP 002,Angelo / (Angel),1960,glazed polychrome ceramic,27 x 19 cm,ceramics,sacred,,,ASP_002.jpg,2838,2838,publish
catalogo,12846,OCA 3,Carretto / (Little Wagon),1948,glazed polychrome ceramic,"15 x 26 x 12,5 cm",ceramics,others,,,OCA_3.jpg,2846,2846,publish
catalogo,12847,VA 338,Vaso / (Vase),circa 1958,glazed polychrome ceramic,"h. 48,5 x 28 cm",ceramics,vases,two sheets vase,,VA_338.jpg,2847,2847,publish
catalogo,12879,ONU 031,Bambini / (Children),circa 1955,glazed ceramic,20 x 20 x 10 cm,ceramics,Onu,, ,ONU_031.jpg,2879,2879,publish
catalogo,12899,VA 346/346-1,Vaso / (Vase),circa 1955,glazed polychrome ceramic,"20,5 x 13,5 x 9 cm",ceramics,vases,moon vase,,VA_346/346-1.jpg,2899,2899,publish
catalogo,12902,VA 347/347-1,Vaso / (Vase),circa 1955,glazed polychrome ceramic,"22,5 x Ø 3,5 cm",ceramics,vases,strano vase,,VA_347/347-1.jpg,2902,2902,publish
catalogo,12908,Cb 9,Coppa / (Bowl),circa 1955,glazed polychrome ceramic,"h. 16 x Ø 20,5 cm",ceramics,bowls,,,Cb_9.jpg,2908,2908,publish
catalogo,12918,PT 018/18-01,Piatto / (Plate),circa 1955,glazed polychrome ceramic,h. 4 x Ø 19 cm,ceramics,plates,,,PT_018/18-01.jpg,2918,2918,publish
catalogo,12920,PT 020,Piatto / (Plate),circa 1955,glazed polychrome ceramic,"11,5 x 29 x 28 cm",ceramics,plates,,,PT_020.jpg,2920,2920,publish
catalogo,12921,PT 021,Piatto / (Plate),circa 1955,glazed polychrome ceramic,h. 8 x Ø 26 cm,ceramics,plates,,,PT_021.jpg,2921,2921,publish
catalogo,12922,PT 022,Piatto / (Plate),circa 1955,glazed polychrome ceramic,"9 x 26 x 21,5 cm",ceramics,plates,, ,PT_022.jpg,2922,2922,publish
catalogo,12932,VA 350,Vaso / (Vase),circa 1955,glazed polychrome ceramic,h. 26 x Ø 12 cm ,ceramics,vases,cone vase,,VA_350.jpg,2932,2932,publish
catalogo,12938,1951-1952 12,Kore ,1951-1952,glazed polychrome ceramic,"43,5 x 15 cm",Sculptures,,,,1951-1952_12.jpg,2938,2938,publish
catalogo,12953,PT 048/48-1,Piatto / (Plate),circa 1955,glazed polychrome ceramic,"h. 3,5 x Ø 18 cm",ceramics,plates,, ,PT_048/48-1.jpg,2953,2953,publish
catalogo,12956,PT 051,Piatto / (Plate),circa 1951,glazed polychrome ceramic,"h.3,8 x 15,7 cm",ceramics,plates,,,PT_051.jpg,2956,2956,publish
